TIME-STAMP,DATE,PROTOCOL,SRC-IP,DST-IP,SRC-PORT,DST-PORT,MD5-HASH,FLAGS,PAYLOAD SIZE,PACKET-COUNT,START_TIME,END-TIME,SERVICE_TYPE
08:01:48,2024-02-22,TCP,51.20.255.233,192.168.137.161,22,49586,8e82495ca91e9420ab547ee3ecd3947b,PA,44,1,08:01:48,08:01:48,
08:02:34,2024-02-22,TCP,51.20.255.233,192.168.137.161,22,49586,565f585c785a388f0d99b7a84333dfaa,PA,40,1,08:02:34,08:02:34,
08:02:34,2024-02-22,TCP,192.168.137.161,51.20.255.233,49586,22,d41d8cd98f00b204e9800998ecf8427e,A,0,1,08:02:34,08:02:34,SSH
08:02:34,2024-02-22,TCP,192.168.137.161,51.20.255.233,55530,45000,a0b2cbc4511d071e189952bb260b9f95,PA,157,1,08:02:34,08:02:34,
08:02:35,2024-02-22,TCP,51.20.255.233,192.168.137.161,22,49586,000c823a41aab3a355a49d3a539444ca,PA,111,2,08:02:34,08:02:35,
08:02:35,2024-02-22,TCP,51.20.255.233,192.168.137.161,45000,55530,d41d8cd98f00b204e9800998ecf8427e,A,0,1,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,51.20.255.233,49586,22,d41d8cd98f00b204e9800998ecf8427e,A,0,2,08:02:34,08:02:35,SSH
08:02:35,2024-02-22,TCP,192.168.137.161,51.20.255.233,55530,45000,1a28cf62836114b2627bcf55f754adf6,PA,319,2,08:02:34,08:02:35,
08:02:35,2024-02-22,TCP,51.20.255.233,192.168.137.161,45000,55530,d41d8cd98f00b204e9800998ecf8427e,A,0,2,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,51.20.255.233,192.168.137.161,22,49586,c97ea8073f61490d13fb1161886514ce,PA,182,3,08:02:34,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,51.20.255.233,55530,45000,ac753124cb2514b88264e4ea25ba8b6a,PA,635,3,08:02:34,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,51.20.255.233,49586,22,d41d8cd98f00b204e9800998ecf8427e,A,0,3,08:02:34,08:02:35,SSH
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53914,8000,d41d8cd98f00b204e9800998ecf8427e,S,0,1,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53914,d41d8cd98f00b204e9800998ecf8427e,SA,0,1,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53914,8000,d41d8cd98f00b204e9800998ecf8427e,A,0,2,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53914,8000,02967e2b1f5663528fa26ffaee246512,PA,465,3,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53914,d41d8cd98f00b204e9800998ecf8427e,A,0,2,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53914,c1eec9404c841ef3b8286d5c93f4adcb,PA,374,3,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53914,8000,d41d8cd98f00b204e9800998ecf8427e,FA,0,4,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53914,d41d8cd98f00b204e9800998ecf8427e,FA,0,4,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53914,8000,d41d8cd98f00b204e9800998ecf8427e,A,0,5,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,51.20.255.233,55530,45000,e430555a83fa6a24c099c3d6c4431250,A,1288,4,08:02:34,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53918,8000,d41d8cd98f00b204e9800998ecf8427e,S,0,1,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53918,d41d8cd98f00b204e9800998ecf8427e,SA,0,1,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53918,8000,d41d8cd98f00b204e9800998ecf8427e,A,0,2,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53918,8000,46e95fb077ef4eabc733275fc919bfbc,PA,391,3,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53918,d41d8cd98f00b204e9800998ecf8427e,A,0,2,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53918,7a29ecd97d0a8c3a300f6e0aac795104,PA,224,3,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,51.20.255.233,55530,45000,e8942afdb53cf8d94c8b92d47c0f7b7d,A,1288,5,08:02:34,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53918,b66a90ecca34d6bd41a54a21e4a2ed4f,FPA,257,4,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53918,8000,d41d8cd98f00b204e9800998ecf8427e,A,0,4,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.131,192.168.137.161,53918,8000,d41d8cd98f00b204e9800998ecf8427e,FA,0,5,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,192.168.137.131,8000,53918,d41d8cd98f00b204e9800998ecf8427e,A,0,5,08:02:35,08:02:35,
08:02:35,2024-02-22,TCP,192.168.137.161,51.20.255.233,55530,45000,181ecec950b4cb84555f56db92a7c03a,A,1288,6,08:02:34,08:02:35,
